geoid,0,1,2
14000US36061006000,3.0,20.0,20.0
14000US36119009300,2.0,2.0,2.0
14000US34025805800,1.0,1.0,1.0
14000US34023002102,1.0,1.0,1.0
14000US34017016000,1.0,1.0,1.0
14000US34017019800,1.0,1.0,1.0
14000US36047003300,2.0,2.0,2.0
14000US34025800100,1.0,1.0,1.0
14000US34017000800,29.0,3.0,12.0
14000US36059409200,6.0,6.0,8.0
14000US36119002104,36.0,14.0,26.0
14000US36071015200,9.0,10.0,7.0
14000US36071012700,9.0,10.0,7.0
14000US36103146106,10.0,2.0,9.0
14000US36103122705,10.0,2.0,9.0
14000US36059408600,10.0,2.0,9.0
14000US36059521302,10.0,2.0,9.0
14000US36047050300,2.0,2.0,2.0
14000US36103200902,2.0,2.0,2.0
14000US34003030200,1.0,1.0,1.0
14000US34003003500,1.0,1.0,1.0
14000US36047000501,10.0,33.0,9.0
14000US36103123201,10.0,2.0,9.0
14000US34039036500,1.0,1.0,23.0
14000US34039038601,1.0,1.0,1.0
14000US34013010000,1.0,1.0,1.0
14000US34013011100,1.0,1.0,1.0
14000US34039031200,1.0,1.0,1.0
14000US34013010800,1.0,1.0,1.0
14000US36061007400,2.0,2.0,2.0
14000US34025806300,1.0,1.0,1.0
14000US34023005000,1.0,1.0,1.0
14000US34017005500,1.0,1.0,1.0
14000US34017004200,1.0,1.0,1.0
14000US34003030100,1.0,1.0,1.0
14000US34003021100,1.0,1.0,1.0
14000US36103147702,10.0,2.0,9.0
14000US36103147701,10.0,2.0,9.0
14000US34039039100,1.0,1.0,1.0
14000US36081094500,10.0,2.0,9.0
14000US36047040000,6.0,6.0,8.0
14000US34029714200,1.0,1.0,1.0
14000US34025805100,1.0,1.0,1.0
14000US36059517200,10.0,2.0,9.0
14000US36061011900,10.0,34.0,9.0
14000US36047029600,6.0,6.0,8.0
14000US36085019700,6.0,6.0,8.0
14000US36047013900,2.0,2.0,2.0
14000US36119010903,9.0,10.0,2.0
14000US36061004300,37.0,35.0,34.0
14000US34031182500,1.0,1.0,1.0
14000US34039031602,1.0,1.0,1.0
14000US34039034600,1.0,1.0,1.0
14000US36047006800,36.0,36.0,28.0
14000US36047001300,38.0,6.0,35.0
14000US34029734002,1.0,1.0,1.0
14000US34029711300,1.0,1.0,1.0
14000US36081094700,10.0,11.0,11.0
14000US36047055500,2.0,2.0,2.0
14000US34023006605,2.0,2.0,2.0
14000US34023004800,1.0,1.0,1.0
