geoid,0,1,2
14000US34013014500,4.0,3.0,4.0
14000US34017014200,4.0,3.0,4.0
14000US34031124312,4.0,3.0,4.0
14000US34029736105,4.0,3.0,4.0
14000US36081027500,9.0,23.0,32.0
14000US36081041500,9.0,23.0,32.0
14000US34003059100,4.0,3.0,4.0
14000US34003049002,4.0,3.0,4.0
14000US36103135209,3.0,4.0,3.0
14000US34025810800,4.0,3.0,4.0
14000US34025809701,4.0,3.0,4.0
14000US34031182302,4.0,3.0,4.0
14000US34025807003,4.0,3.0,4.0
14000US34025811000,4.0,3.0,4.0
14000US34023000100,4.0,3.0,4.0
14000US34029720101,4.0,3.0,4.0
14000US36005041400,1.0,1.0,3.0
14000US36081033402,34.0,1.0,9.0
14000US34031133702,4.0,3.0,4.0
14000US34031180800,4.0,3.0,4.0
14000US36061016900,20.0,15.0,11.0
14000US36061005900,35.0,31.0,23.0
14000US36047050400,6.0,32.0,1.0
14000US36071011300,1.0,1.0,1.0
14000US36071000400,1.0,1.0,1.0
14000US36119014809,1.0,1.0,1.0
14000US36005028500,3.0,4.0,3.0
14000US36081162100,3.0,4.0,3.0
14000US36061031704,17.0,4.0,17.0
14000US34003032201,4.0,3.0,4.0
14000US36027210201,1.0,1.0,1.0
14000US34017019900,4.0,3.0,4.0
14000US34017004000,4.0,3.0,14.0
14000US34003042302,4.0,3.0,4.0
14000US34017001100,36.0,28.0,36.0
14000US36061010900,3.0,4.0,3.0
14000US34013014600,4.0,22.0,4.0
14000US36103158510,3.0,4.0,3.0
14000US36103158110,3.0,4.0,3.0
14000US34037371100,4.0,3.0,4.0
14000US34037373100,4.0,3.0,4.0
14000US34023006103,4.0,3.0,4.0
14000US36081080900,3.0,4.0,3.0
14000US36085020100,2.0,2.0,2.0
14000US34013019600,4.0,22.0,26.0
14000US34035051600,4.0,3.0,4.0
14000US34035053000,4.0,3.0,4.0
14000US34035050200,4.0,3.0,4.0
14000US36061015300,27.0,33.0,25.0
14000US34025811303,4.0,3.0,4.0
14000US34025803300,4.0,3.0,4.0
14000US36059415600,3.0,4.0,3.0
14000US34013016800,4.0,3.0,4.0
14000US34013009300,4.0,22.0,26.0
14000US34013014700,4.0,3.0,4.0
14000US34037374500,4.0,3.0,4.0
14000US34003032103,4.0,3.0,4.0
14000US36059413200,3.0,4.0,3.0
14000US36059304202,3.0,4.0,3.0
14000US34003015400,4.0,3.0,4.0
14000US36061025100,1.0,1.0,1.0
14000US36047022100,31.0,34.0,10.0
14000US36047043500,13.0,18.0,12.0
14000US36027140700,1.0,1.0,1.0
14000US36027300000,1.0,1.0,1.0
14000US34017017500,4.0,3.0,4.0
14000US36103145902,3.0,4.0,3.0
14000US36103145702,3.0,4.0,3.0
14000US36119014607,1.0,1.0,1.0
14000US36119009100,1.0,1.0,1.0
14000US36061003601,32.0,10.0,7.0
14000US36119002600,1.0,1.0,1.0
14000US36005042000,10.0,1.0,1.0
14000US36103158308,3.0,4.0,3.0
14000US36103158319,3.0,4.0,3.0
14000US34031124321,4.0,3.0,4.0
14000US34003053200,4.0,3.0,4.0
14000US36027140200,1.0,1.0,1.0
14000US36087013002,1.0,1.0,1.0
14000US36061028300,1.0,32.0,34.0
14000US36047044900,3.0,4.0,3.0
14000US36103124300,3.0,4.0,3.0
14000US36103145901,3.0,4.0,3.0
14000US36061013400,15.0,6.0,35.0
14000US36061004900,3.0,32.0,12.0
14000US36059517101,3.0,4.0,3.0
14000US36059517102,3.0,4.0,3.0
14000US34017004600,4.0,3.0,14.0
14000US34027040200,4.0,3.0,4.0
14000US36061001800,16.0,15.0,11.0
14000US34017000902,4.0,3.0,4.0
14000US34017007500,4.0,3.0,4.0
14000US36047049700,35.0,12.0,34.0
14000US36061003900,8.0,4.0,10.0
14000US36081018900,10.0,11.0,3.0
14000US36081115700,3.0,4.0,3.0
14000US36061018100,3.0,14.0,12.0
14000US36061014500,32.0,23.0,10.0
14000US34039039900,4.0,3.0,4.0
14000US34039031100,4.0,3.0,4.0
14000US36061019100,16.0,35.0,11.0
14000US36047004500,3.0,4.0,3.0
14000US36103146002,3.0,4.0,3.0
14000US36103145703,3.0,4.0,3.0
14000US36119012000,1.0,1.0,1.0
14000US36119011800,1.0,1.0,1.0
14000US34029714200,4.0,3.0,4.0
14000US36103158509,3.0,4.0,3.0
14000US36081101700,3.0,4.0,3.0
14000US36047033900,2.0,2.0,11.0
14000US36103158107,3.0,4.0,3.0
14000US36103135402,3.0,4.0,3.0
14000US34025807900,4.0,3.0,4.0
14000US36081030600,3.0,4.0,3.0
14000US36059411100,3.0,4.0,3.0
14000US36081099801,3.0,4.0,3.0
14000US34039032500,4.0,3.0,4.0
14000US36119006500,1.0,1.0,1.0
14000US34031196401,4.0,3.0,4.0
14000US34013021701,4.0,3.0,4.0
14000US34013011200,4.0,22.0,26.0
14000US34017013400,37.0,27.0,37.0
14000US34029734001,4.0,3.0,4.0
14000US42103950605,1.0,1.0,1.0
14000US34023006101,4.0,3.0,4.0
14000US34017005200,4.0,3.0,14.0
14000US34003019304,4.0,3.0,4.0
14000US36005023702,20.0,25.0,1.0
14000US36005037800,10.0,25.0,1.0
14000US36081085300,3.0,1.0,3.0
14000US34031246001,4.0,3.0,4.0
